title,author,language,genre,description
Talking to Strangers,Malcolm Gladwell,English,Psychology,Understanding strangers.
The Tipping Point,Malcolm Gladwell,English,Psychology,How ideas spread.
Thinking Fast and Slow,Daniel Kahneman,English,Psychology,How our brain makes decisions.
Emotional Intelligence,Daniel Goleman,English,Psychology,Understanding emotional intelligence.
The Psychology of Money,Morgan Housel,English,Finance,Understanding financial behavior.
Your Money or Your Life,Vicki Robin,English,Finance,Changing your relationship with money.
The Intelligent Investor,Benjamin Graham,English,Finance,Classic investing guide.
Common Stocks and Uncommon Profits,Philip Fisher,English,Finance,Investment philosophy.
Security Analysis,Benjamin Graham,English,Finance,Advanced investing techniques.
The Snowball,Alice Schroeder,English,Biography,Life of Warren Buffett.
Steve Jobs,Walter Isaacson,English,Biography,Story of Apple founder.
Elon Musk,Ashlee Vance,English,Biography,Life of Elon Musk.
Shoe Dog,Phil Knight,English,Biography,Founder of Nike story.
Long Walk to Freedom,Nelson Mandela,English,Biography,Mandela’s life story.
Becoming,Michelle Obama,English,Biography,Story of former First Lady.
Educated,Tara Westover,English,Biography,A woman’s journey through education.
The Diary of a Young Girl,Anne Frank,English,Biography,A girl hiding during war.
Night,Elie Wiesel,English,Biography,A Holocaust survivor’s story.
Into the Wild,Jon Krakauer,English,Biography,A man’s journey into wilderness.

Premchand Stories,Munshi Premchand,Hindi,Drama,Collection of social stories.
Godaan,Munshi Premchand,Hindi,Drama,Story of a poor farmer.
Nirmala,Munshi Premchand,Hindi,Drama,A story about social injustice.
Gaban,Munshi Premchand,Hindi,Drama,A story about greed.
Raag Darbari,Shrilal Shukla,Hindi,Satire,A satire on Indian politics.
Gunahon Ka Devta,Dharamvir Bharati,Hindi,Love,A tragic love story.
Madhushala,Harivansh Rai Bachchan,Hindi,Poetry,Philosophical poems.
Chandrakanta,Devaki Nandan Khatri,Hindi,Fantasy,A magical adventure story.
Maila Anchal,Phanishwar Nath,Hindi,Drama,Life in rural India.
Rashmirathi,Ramdhari Singh Dinkar,Hindi,Poetry,Story of Karna.
Kurukshetra,Ramdhari Singh Dinkar,Hindi,War,Philosophical war poem.
Mrityunjaya,Shivaji Sawant,Hindi,History,Story of Karna.
Chanakya Niti,Chanakya,Hindi,Philosophy,Ancient wisdom teachings.
Bhagavad Gita,Ved Vyasa,Hindi,Spiritual,Teachings of Lord Krishna.
Ramcharitmanas,Tulsidas,Hindi,Spiritual,Story of Lord Rama.
Panchtantra,Vishnu Sharma,Hindi,Children,Moral animal stories.
Hitopadesh,Narayan Pandit,Hindi,Children,Ancient moral stories.
Akbarnama,Abul Fazl,Hindi,History,History of Emperor Akbar.
Discovery of India,Jawaharlal Nehru,Hindi,History,India’s history and culture.
Bharat Ek Khoj,Jawaharlal Nehru,Hindi,History,History of Indian civilization.
Malgudi Days,R.K. Narayan,Hindi,Drama,Stories from a small Indian town.
Guide,R.K. Narayan,Hindi,Drama,A story of transformation.
Gitanjali,Rabindranath Tagore,Hindi,Poetry,Spiritual poems.
Kabir Ke Dohe,Kabir,Hindi,Poetry,Philosophical couplets.
Tulsi Ramayan,Tulsidas,Hindi,Spiritual,Story of Lord Rama.
Satyarth Prakash,Dayanand Saraswati,Hindi,Philosophy,Teachings of Arya Samaj.
Geet Govind,Jayadeva,Hindi,Poetry,Devotional poems.
Saket,Maithili Sharan Gupt,Hindi,Poetry,Story related to Ramayana.
Yashodhara,Maithili Sharan Gupt,Hindi,Poetry,Life of Buddha's wife.
Kamayani,Jaishankar Prasad,Hindi,Poetry,Philosophical epic poem.
